calibration_bias,seed,terminal_pnl,fill_count,spread_capture,adverse_selection,settlement_noise,identity_error,as_INFORMED,as_VALUE,as_NOISE
-0.04,26,95.24001130629372,835,15.9656095213653,-35.09007843600749,114.36448022093589,2.842170943040401e-14,-22.202780019144193,-12.062923476686311,-0.8243749401769888
-0.04,27,230.21895277077883,925,18.500000000000014,-40.5291787306175,252.24813150139636,2.842170943040401e-14,-27.51393858367413,-14.627542875791285,1.612302728847912
-0.04,28,198.63755327773225,840,16.80000000000002,-39.13969660352711,220.97724988125918,1.7053025658242404e-13,-24.600330669626754,-14.21728015578774,-0.3220857781126203
-0.04,29,-127.63179170549648,903,18.06000000000001,-39.92597430132145,-105.76581740417464,3.979039320256561e-13,-26.204318391149656,-14.049525651847345,0.32786974167554217
-0.02,0,-55.62114660061234,803,16.060000000000013,-26.898515815513925,-44.78263078509839,3.552713678800501e-14,-16.30279491635972,-10.081590710828596,-0.5141301883256076
-0.02,1,135.20494315996456,799,15.980000000000011,-27.858889968960597,147.0838331289252,5.684341886080802e-14,-18.75007949738414,-9.535822707671723,0.42701223609526784
-0.02,2,92.21463081762211,806,16.12000000000001,-30.349664465197115,106.44429528281913,8.526512829121202e-14,-19.300683454005224,-11.375637611582569,0.3266566003906781
-0.02,3,88.43424901581318,785,15.607120175180704,-27.124068480478144,99.95119732111085,2.2737367544323206e-13,-17.38065745148542,-9.769438993550004,0.02602796455727574
-0.02,4,74.49563915319727,817,16.13798733471357,-28.146999758143345,86.50465157662701,4.263256414560601e-14,-19.07753334249501,-8.886692998299939,-0.182773417348399
-0.02,5,-142.1004432186738,793,15.323944723939128,-26.77599304922338,-130.64839489338965,8.526512829121202e-14,-17.285755045102533,-9.176484820013208,-0.31375318410764025
-0.02,6,116.20213632434644,852,16.877349389202806,-27.543342319202186,126.86812925434594,1.2789769243681803e-13,-17.8016785723378,-11.198105762447316,1.4564420155829316
-0.02,7,-67.87861471855182,876,17.520000000000014,-32.29549298563417,-53.10312173291756,9.947598300641403e-14,-22.440214136524958,-10.312930312282315,0.4576514631730924
-0.02,8,65.52699448992507,848,16.700472637473993,-29.530399957075588,78.35692180952665,1.4210854715202004e-14,-17.782414940046166,-10.749768106995049,-0.9982169100343747
-0.02,9,36.03407460643379,783,15.298063391252619,-29.04267241843157,49.77868363361269,5.684341886080802e-14,-17.964252061244718,-10.807912200130886,-0.2705081570559677
-0.02,10,-77.29874215028991,834,16.680000000000014,-29.144452276213592,-64.83428987407629,4.263256414560601e-14,-18.572246598638785,-11.010678016532705,0.4384723389578976
-0.02,11,-127.01741413248108,833,16.603015886696852,-30.14384343036199,-113.476586588816,7.105427357601002e-14,-19.132273328154817,-10.589512465286212,-0.4220576369209592
-0.02,12,-137.01118521614853,767,14.502919532385638,-24.26031547622753,-127.25378927230668,2.842170943040401e-14,-16.518790681305923,-9.042561067573684,1.3010362726520805
-0.02,13,74.30930245438145,803,15.879854490506915,-29.592833426354236,88.02228139022878,1.4210854715202004e-14,-18.71529574266393,-10.882577241074905,0.005039557384594051
-0.02,14,-74.28868276889102,850,17.000000000000014,-29.28144095777393,-62.0072418111172,8.526512829121202e-14,-20.114280375429168,-10.14732826578673,0.9801676834419665
-0.02,15,74.8221532681798,747,14.46198025242078,-25.125713262933985,85.485886278693,1.4210854715202004e-14,-15.591447272985977,-9.844092229084076,0.30982623913606727
-0.02,16,-181.4923383703794,805,15.828929850562456,-30.260071191529477,-167.06119702941243,5.684341886080802e-14,-18.075544102033454,-10.900764139899607,-1.2837629495964107
-0.02,17,-88.29151288664741,837,16.71123205392236,-30.13225582751873,-74.87048911305098,5.684341886080802e-14,-18.726893825165945,-11.395520038157448,-0.00984196419533645
-0.02,18,-61.80543690511253,816,16.320000000000014,-28.764808729384548,-49.36062817572804,4.263256414560601e-14,-18.401407564253347,-10.774555777072852,0.41115461194164654
-0.02,19,151.98300620403225,806,16.12000000000001,-28.637992205373344,164.50099840940572,1.4210854715202004e-13,-18.45549945986836,-10.537502890092288,0.3550101445873054
-0.02,20,-49.34330896549436,805,16.100000000000016,-30.553668579145885,-34.88964038634839,9.947598300641403e-14,-19.76063767355503,-9.390830298834445,-1.4022006067564088
-0.02,21,-102.18929225147892,812,16.240000000000016,-27.678583894185948,-90.75070835729301,2.842170943040401e-14,-19.121370055313395,-8.56642806906454,0.00921423019198142
-0.02,22,-104.41189149244192,846,16.920000000000016,-28.067849236849305,-93.26404225559246,1.7053025658242404e-13,-18.064054521699685,-11.908670218367337,1.9048755032177156
-0.02,23,39.301746676580315,846,16.270197068509013,-29.053970398309204,52.08552000638046,4.263256414560601e-14,-18.887733076597478,-10.685673094612817,0.5194357729010949
-0.02,24,65.02557019519536,813,15.76244687883168,-27.834524574812868,77.09764789117665,9.947598300641403e-14,-18.798661903958095,-9.224349737683628,0.18848706682885397
-0.02,25,-90.53288709145431,841,16.82000000000001,-29.29024675185324,-78.062640339601,8.526512829121202e-14,-19.329868414555847,-9.651953714517834,-0.30842462277956095
-0.02,26,47.80442115932125,778,14.991608875924648,-27.454869449529888,60.267681732926434,5.684341886080802e-14,-17.416833755475153,-9.104552041282131,-0.9334836527726064
-0.02,27,129.03250848852008,844,16.880000000000017,-29.98497018979211,142.1374786783123,1.4210854715202004e-13,-20.523318784206904,-11.033954134433115,1.5723027288479114
-0.02,28,109.3099079394978,813,16.260000000000012,-31.140732992559244,124.19064093205698,5.684341886080802e-14,-20.03847777559206,-10.660169438854563,-0.4420857781126195
-0.02,29,-73.06352322635382,822,16.440000000000012,-28.85310029728002,-60.65042292907377,4.263256414560601e-14,-18.244975408979926,-10.815994629975638,0.2078697416755429
0.0,0,-11.115699798703416,781,15.124489802243538,-22.760275407702547,-3.4799141932444195,1.2434497875801753e-14,-14.154318732523667,-8.64058595602208,0.034629280843201604
0.0,1,-15.339607459527492,783,15.251054333632656,-24.66350245217277,-5.927159340987418,4.263256414560601e-14,-16.35753190268929,-8.584800610978288,0.27883006149480627
0.0,2,-17.514845010839394,789,15.773522322045139,-27.221156076674333,-6.0672112562102,0.0,-17.55037586449298,-10.13743681257203,0.4666566003906787
0.0,3,-26.374546467354552,777,15.469542346563141,-24.876642436058667,-16.967446377859005,2.1316282072803006e-14,-15.649703192592092,-8.910093627937307,-0.31684561552927054
0.0,4,-24.645981501227094,804,15.964476063807833,-26.517805076494064,-14.092652488540885,2.1316282072803006e-14,-16.682908351151813,-9.055835565925372,-0.7790611594168797
0.0,5,5.355086997228169,795,15.574688858256966,-25.344247955446193,15.124646094417404,7.993605777301127e-15,-16.435096835575962,-8.416153219476312,-0.49299790039392133
0.0,6,11.453138824386526,807,16.01574054227804,-23.32236371455058,18.75976199665906,8.881784197001252e-15,-14.159713136725292,-10.58298380011944,1.4203332222941525
0.0,7,3.0179320977795143,838,16.70819338604008,-28.09887280878329,14.408611520522745,1.9539925233402755e-14,-19.21043388930913,-9.087560726492331,0.1991218070181745
0.0,8,-18.295772591349937,823,16.322947023587346,-26.790918846407443,-7.82780076852984,0.0,-15.865315258683433,-10.048180949904015,-0.8774226378199981
0.0,9,-15.196058159249954,771,15.1815737931324,-26.734721877159174,-3.642910075223171,1.0658141036401503e-14,-16.25135506306326,-10.166424269503885,-0.31694254459202587
0.0,10,-20.678636396593905,791,15.526467271818252,-24.409192088592462,-11.79591157981971,1.7763568394002505e-14,-15.533634691262908,-9.341810251619911,0.46625285429035446
0.0,11,13.0608560110983,799,15.953695388657625,-26.895368284447894,24.002528906888564,5.329070518200751e-15,-17.1121063800432,-9.148272733958633,-0.6349891704460566
0.0,12,8.227188072781841,766,14.757873502711222,-22.488058167193852,15.957372737264489,1.7763568394002505e-14,-15.442021985332506,-8.739420181028727,1.6933839991673825
0.0,13,-12.903329585284473,761,15.13363541350785,-26.12064360097131,-1.9163213978210116,1.7763568394002505e-15,-16.773465551617733,-8.873138144053868,-0.4740399052997084
0.0,14,-14.392279181746382,834,16.292911769806857,-25.770926239170436,-4.914264712382815,1.2434497875801753e-14,-17.940604564789588,-8.688095454248128,0.8577737798672822
